Designator	Mid X	Mid Y	Rotation	Layer
C1	45.21	19.56	0	Top
C2	38.86	25.91	270	Top
C3	14.48	21.59	0	Top
C4	14.48	16.51	180	Top
C5	9.91	56.9	180	Top
C6	16.51	43.69	180	Top
C7	16.51	45.72	180	Top
C8	25.88	49.56	270	Top
C9	28.7	50.22	270	Top
D1	45.21	17.27	0	Top
D2	19.56	21.84	270	Top
IC1	7.62	53.85	90	Top
IC2	21.34	44.7	180	Top
J1	44.45	10.56	0	Top
JP1	34.29	7.37	90	Top
LED1	54.23	58.67	180	Top
R1	52.58	58.67	90	Top
R2	19.56	16.51	180	Top
R3	14.48	19.05	180	Top
R4	19.56	19.05	0	Top
R5	17.53	52.83	0	Top
R6	17.53	50.55	0	Top
R7	45.72	36.83	180	Top
R8	45.72	34.8	0	Top
R9	45.72	30.73	180	Top
R10	45.72	32.77	0	Top
R11	45.72	40.89	180	Top
R12	45.72	38.86	0	Top
U1	44.96	24.89	180	Top
U2	39.37	52.07	180	Top
